Tom's here.	Tom er her.
She gave me a necktie which was completely to my liking.	Hun gav mig et slips som lige var efter min smag.
My mother is on a diet.	Min mor er på diæt.
Tom needs professional help.	Tom har brug for professionel hjælp.
I need you right now.	Jeg har brug for dig lige nu.
Where's your school?	Hvor ligger din skole?
Don't count on him to lend you any money.	Regn ikke med at han låner dig penge.
Tell me the reason why they are absent.	Sig mig grunden til at de ikke er tilstede.
It was Tom's own fault.	Det var Toms egen skyld.
The question is how long.	Spørgsmålet er hvor længe.
Have you written a book?	Har I skrevet en bog?
Tom and Mary are still in Boston.	Tom og Mary er stadig i Boston.
He listens to whatever you say.	Han lytter til alt hvad du siger.
He who laughs last laughs best.	Den, der ler sidst, ler bedst.
Tom speaks only French to his parents.	Tom taler kun fransk til sine forældre.
He was whistling a tune.	Han fløjtede en melodi.
Tom isn't cooperating.	Tom samarbejder ikke.
Grandmother sent us a box of apples.	Bedstemor har sendt os en kasse æbler.
I love dessert.	Jeg elsker dessert.
She could not come because she was ill.	Hun kunne ikke komme, fordi hun var syg.
We still have plenty of time.	Vi har stadig masser af tid.
My mother was furious.	Min mor var rasende.
How early do you get up in the morning?	Hvor tidligt står du op om morgenen?
We are at home today.	Vi er hjemme i dag.
Spring is here.	Foråret er kommet.
Tom often cries when he's drunk.	Tom græder tit når han er fuld.
There is an apple on the table.	Der er et æble på bordet.
I am not afraid.	Jeg er ikke bange.
Tom knew that Mary couldn't be trusted.	Tom vidste at man ikke kunne stole på Mary.
Can I use your phone?	Må jeg bruge din telefon?
He's a good liar.	Han er en god løgner.
Can I tempt you to try another piece of cake?	Kan jeg friste dig med endnu et stykke kage?
Did you vote in the last election?	Stemte du ved sidste valg?
He continued reading the book.	Han fortsatte med at læse bogen.
Tom became frustrated when his suggestions fell on deaf ears.	Tom blev frustreret da hans forslag faldt for døve øren.
The fuse has blown.	Sikringen er sprunget.
True friendships last forever.	Sandt venskab varer for evigt.
It is about the size of an egg.	Det er cirka på størrelse med et æg.
He got out of the habit of smoking.	Han havde vænnet sig af med at ryge.
Let's start before the sun rises.	Lad os starte før solen står op.
It's a quarter after nine in the morning.	Klokken er kvart over ni om morgenen.
Everybody knows that Tom was in Boston.	Alle ved, at Tom var i Boston.
I thought the enemy had killed Tom.	Jeg troede fjenden havde dræbt Tom.
Tom doesn't know his lines.	Tom kan ikke sine linjer.
The car broke down after half an hour's driving.	Bilen brød sammen efter en halv times kørsel.
Tom is a wimp.	Tom er en skvat.
She's tall and beautiful.	Hun er høj og smuk.
A man who wanted to see you came while you were out.	En mand, der ville se dig, kom mens du var væk.
Tom is very different from what I expected.	Tom er meget forskellig fra hvad jeg forventede.
My house is small.	Mit hus er lille.
Tom opened the window.	Tom åbnede vinduet.
He helped me move.	Han hjalp mig med at flytte.
I'm busy with my homework.	Jeg er ved at lave mine lektier.
Tom loved Mary, but she didn't like him at all.	Tom elskede Mary, men hun kunne slet ikke lide ham.
Tom gave Mary $1,000 in a brown paper bag.	Tom gav Mary tusind dollars i en brun papirspose.
What are you planning?	Hvad er det du planlægger?
You did it again.	Du gjorde det igen.
This book belongs to me.	Denne bog tilhører mig.
The chef came over at our table.	Kokken kom hen til vores bord.
Frederick the Great introduced the potato to Prussia.	Frederik den Store indførte kartoflen i Prøjsen.
They're treating me like a child.	De behandler mig som et barn.
Tom went outside to smoke.	Tom gik udenfor for at ryge.
He did nothing but watch TV all day.	Han lavede ikke andet end at se fjernsyn hele dagen.
I'm not your friend.	Jeg er ikke jeres ven.
We're not in the 80s anymore.	Vi er ikke længere i firserne.
That's too bad.	Det er for galt!
He is the tallest of all boys.	Han er den højeste af alle drengene.
Tom has a dashcam in his car.	Tom har en dashcam i sin bil.
Tom missed the last train and had to take a taxi home.	Tom nåede ikke det sidste tog og måtte tage en taxi hjem.
Tom tried to persuade Mary to quit smoking.	Tom prøvede at overtale Mary til at holde op med at ryge.
That apple is big.	Det æble dér er stort.
The lion killed the gazelle.	Løven dræbte gazellen.
They love us.	De elsker os.
It's as clear as mud.	Det er klart som mudder.
Tom got run over by a truck.	Tom blev kørt over af en lastbil.
I have a few tricks up my sleeve.	Jeg har et par tricks i ærmet.
I wish you were dead.	Gid du var død!
Tom lives three blocks from the beach.	Tom bor tre husblokke fra stranden.
I'd like to change some money.	Jeg vil gerne veksle penge.
You always get up early, don't you?	Du står altid tidlig op, gør du ikke?
How much does that mountain bike cost?	Hvad koster den mountainbike?
You may sit wherever you like.	Du må sidde lige hvor du har lyst til.
Is Mary Tom's wife?	Er Mary Toms kone?
See you at Christmas.	Vi ses til jul.
You two stay here.	Bliv her I to.
You don't need to call me.	Du behøver ikke at ringe til mig.
I stayed home because it was raining.	Jeg blev hjemme fordi det regnede.
Really?	Så?
They are putting on their gloves.	De tager handskerne på.
I had a narrow escape.	Jeg undslap med nød og næppe.
Aardvarks are nocturnal animals.	Jordsvin er nataktive dyr.
Here is your dog. Where is mine?	Her er din hund. Hvor er min?
The cat is under the sofa.	Katten er under sofaen.
I miss you.	Jeg savner dig.
I lost everything I had.	Jeg mistede alt jeg havde.
I live in a rural area.	Jeg bor på landet.
I'm not in a good mood either.	Jeg er heller ikke i et godt humør.
Could I see your driver's license?	Må jeg se dit kørekort?
I'm not sure.	Jeg er ikke sikker.
We may never know what really happened.	Vi får måske aldrig at vide hvad der i virkeligheden skete.
He opened the cage and set the birds free.	Han åbnede buret og slap fuglene fri.
I like to build bridges.	Jeg kan lide at bygge broer.
I know Tom's widow.	Jeg kender enken efter Tom.
Hang that picture on the wall.	Hæng det billede op på væggen.
Tom and Mary had three children.	Tom og Mary havde tre børn.
Do you have any more tricks up your sleeve?	Har du flere tricks i ærmet?
I had a cat named Cookie.	Jeg havde en kat som hed Cookie.
This bicycle is old, but it's better than nothing.	Den her cykel er gammel, men den er bedre end ingenting.
Did you eat your spinach?	Har du spist din spinat?
You're lying!	Du lyver!
He does not smoke.	Han ryger ikke.
Did you lose something?	Har du mistet noget?
This wall is cold.	Den her væg er kold.
They'll be playing soccer tomorrow.	De spiller fodbold i morgen.
I don't live here anymore.	Jeg bor her ikke længere.
Swimming at night is dangerous.	Det er farligt at svømme om natten.
I had a dog named Cookie.	Jeg har haft en hund der hed Cookie.
You reap what you sow.	I høster hvad I sår.
Tom is a vet.	Tom er dyrlæge.
I have a new email address.	Jeg har en ny e-postadresse.
Stay here.	Bliv her!
It won't help you.	Det vil ikke hjælpe dig.
The game was called off on account of rain.	Spillet blev aflyst på grund af regn.
Paris is the capital of France.	Paris er Frankrigs hovedstad.
The sniper is driving a white van.	Snigskytten kører i en hvid varevogn.
He came home at ten.	Han kom hjem ved ti-tiden.
Raise your hand.	Ræk hånden op.
Tom must be somewhere in the building.	Tom må være et eller andet sted i bygningen.
Your car is fast.	Jeres bil er hurtig.
This is the last call for Flight 333 to Boston.	Dette er sidste udkald til flight 333 til Boston.
We want it to be a surprise.	Vi ønsker at det skal være en overraskelse.
Tom deserves a reward for that.	Tom fortjener en dusør for det.
Don't beat about the bush.	Gå lige til sagen.
Tom made a complete fool of himself.	Tom gjorde sig selv helt til grin.
What did you see?	Hvad har I set?
She felt blue.	Hun var nedtrykt.
How often do I have to tell you?	Hvor ofte skal jeg sige det til dig?
These apples taste good.	De her æbler smager godt.
The sooner, the better.	Jo før, jo bedre.
This house has solar panels.	Dette hus har solpaneler.
What're you saying?	Hvad siger du?
I dreamt about you.	Jeg har drømt om dig.
Tell Tom I'll call him back.	Sig til Tom at jeg ringer ham op.
I like pop music.	Jeg kan lide popmusik.
Your fly is open!	Tivoli er åben!
Someone has stolen my tennis racket.	Nogen har stjålet min tennisketsjer.
Tom needs to get a passport.	Tom skal have sig et pas.
Tom was going to lie, but he ended up spilling the beans.	Tom skulle til at lyve, men endte med at tale over sig.
That's a picture of Tom and his cat.	Det er et billede af Tom og hans kat.
Tom is Mary's most famous son.	Tom er Marys mest berømte søn.
I'm trying to lose weight.	Jeg prøver på at tabe mig.
Thieves plundered the museum.	Tyve har plyndret museet.
How many apples do you have?	Hvor mange æbler har du?
Tom put out the fire.	Tom slukkede ilden.
You've got bags under your eyes.	Du har poser under øjnene.
Please write to me as soon as you can.	Skriv til mig så snart du kan.
There were no survivors.	Der var ingen overlevende.
I know what's right.	Jeg ved, hvad der er rigtigt.
It's cloudy today.	I dag er det skyet.
The nurse took my blood pressure.	Sygeplejersken tog mit blodtryk.
Is there anything to drink in the fridge?	Er der noget at drikke i køleskabet?
I'm thirty years old.	Jeg er tredive år gammel.
She held him like mother gorillas hold their babies.	Hun holdt ham ligesom gorillamødre holder deres babyer.
Tom is still studying French.	Tom studerer stadig fransk.
Do you know Tom's full name?	Kender du Toms fulde navn?
What did you do at night?	Hvad lavede du om natten?
I always play by the rules.	Jeg spiller altid efter reglerne.
Where are your parents?	Hvor er jeres forældre?
You got it all wrong.	Du har misforstået det hele.
Dinosaurs are now extinct.	Dinosaurusser er nu uddøde.
I would've said no.	Jeg ville have sagt nej.
He went ballistic.	Han gik amok.
I made you a pair of mittens.	Jeg har strikket et par vanter til dig.
They come from Sweden.	De kommer fra Sverige.
The teachers greeted the little boy.	Lærerne hilste på den lille dreng.
Tom ate the whole apple in less than three minutes.	Tom spiste hele æblet på mindre end tre minutter.
I don't have enough money to pay this month's rent.	Jeg har ikke penge nok til at betale denne måneds husleje.
Tom likes jelly donuts.	Tom kan lide berlinere.
I want an apple.	Jeg vil have et æble.
Your guests are waiting.	Dine gæster venter allerede.
She is kissing him.	Hun kysser ham.
You can change that.	Du kan ændre det.
They sat in a circle.	De sad i en cirkel.
He hid his sadness behind a smile.	Han skjulte sin tristesse bag et smil.
Who did you write a letter to?	Hvem skrev du et brev til?
I built it.	Jeg har bygget det.
He imitated the works of Van Gogh.	Han efterlignede van Goghs værker.
I didn't see who was driving.	Jeg så ikke hvem der kørte.
I don't know what's happening.	Jeg ved ikke hvad der sker.
It seems to me that you don't agree.	Det forekommer mig, at du ikke er enig.
Ask Tom what he's done.	Spørg Tom hvad han har gjort.
Where are your children?	Hvor er jeres børn?
That medicine worked.	Dette medikament virkede.
Don't waste your time on that pipe dream.	Spild ikke tiden på det luftkastel.
Hold this.	Hold det her!
I'll come earlier tomorrow.	Jeg kommer tidligere i morgen.
Which is larger, the sun or the earth?	Hvad er størst, Solen eller Jorden?
Is it an action movie?	Er det en actionfilm?
I took that picture a week ago.	Jeg tog det billede for en uge siden.
I wish I could help you.	Gid jeg kunne hjælpe dig!
The butcher is weighing the meat.	Slagteren er ved at veje kødet.
Do you believe in God?	Tror du på Gud?
There's no cure for baldness.	Der findes ingen kur mod skaldethed.
Our visitors are sitting in the living room.	Vores gæster sidder i dagligstuen.
I want you to send this report to Tom.	Jeg vil have dig til at sende denne rapport til Tom.
Tom had to run to catch the bus.	Tom var nød til at løbe for at nå bussen.
Let's go!	Kom, så går vi!
Tom threw an egg at Mary.	Tom kastede et æg efter Mary.
Red is out of fashion.	Rødt er ikke mere på mode.
The earth is smaller than the sun.	Jorden er mindre end Solen.
Do you feel sick?	Har du kvalme?
I laughed.	Jeg lo.
I can hear something.	Jeg kan høre noget.
I had my money stolen.	Mine penge blev stjålet.
Tom must be homesick.	Tom må have hjemve.
Tom was waiting.	Tom sad og ventede.
I don't have a fever.	Jeg har ikke feber.
The dog is on the chair.	Hunden er på stolen.
I asked Tom to teach me French.	Jeg bad Tom om at lære mig fransk.
Tom is watering the flowers.	Tom er ved at vande blomsterne.
Tom never did that before.	Tom har aldrig gjort det før.
We don't like rain.	Vi kan ikke lide regn.
It came to a grand total of 150,000 euros.	Det har alt i alt kostet 150.000 euro.
I am looking forward to Christmas.	Jeg glæder mig til jul.
Don't you know what's going on?	Ved du ikke hvad der sker?
You must learn from your mistakes.	I må lære af jeres fejl.
This doll is a gift from my aunt.	Denne dukke er en gave fra min tante.
They asked him.	De har spurgt ham.
I go to church on Sundays.	Om søndagen går jeg i kirke.
Tom gathered sticks for the fire.	Tom samlede kvas til bålet.
That's simply not possible.	Det er simpelthen ikke muligt.
He is full of new ideas.	Han er fuld af nye ideer.
I hope you don't suffer from claustrophobia.	Jeg håber du ikke lider af klaustrofobi.
Tom suddenly blushed and looked away.	Tom rødmede pludselig og kiggede væk.
What a wonderful night!	Sikke en dejlig nat!
I realize that you guys wouldn't be here if you didn't have to be.	Jeg er klar over at I ikke ville være her hvis det ikke var fordi I skulle.
I try to eat a balanced diet.	Jeg forsøger at spise en afbalanceret kost.
This horse has beautiful big eyes.	Denne hest har smukke store øjne.
Tom was very nice to me.	Tom var meget venlig overfor mig.
I'm playing with my cat.	Jeg leger med min kat.
I need a new bicycle.	Jeg trænger til en ny cykel.
This apple is sweet.	Dette æble er sødt.
Tom is Mary's downstairs neighbor.	Tom er Marys underbo.
So, what do you recommend?	Så, hvad anbefaler du?
He's both tall and fat.	Han er både høj og fed.
I've never felt so stupid.	Jeg har aldrig følt mig så dum.
There are some people who think it's a bad idea.	Der er nogle mennesker som synes det er en dårlig idé.
The sun has gone down.	Solen er gået ned.
Aren't you supposed to be in school right now?	Burde du ikke være i skole lige nu?
I love you more than he loves you.	Jeg elsker dig mere end han elsker dig.
We saw her enter the room.	Vi så hende komme ind i værelset.
All men are created equal.	Alle mennesker er skabt lige.
Tom is about Mary's age.	Tom er omtrent på Marys alder.
Do you have mittens?	Har du vanter?
I can sing it in English.	Jeg kan synge det på engelsk.
Come tomorrow morning.	Kom i morgen tidlig.
Tom is not a cat person.	Tom er ikke til katte.
Tom and I aren't that stupid.	Tom og jeg er ikke så dumme.
Tom kept tailgating the car in front of us even though I told him it was unsafe to do so.	Tom blev ved med at køre for nær bilen foran os selvom jeg fortalte ham at det kunne være farligt at gøre det.
I plan on skipping lunch.	Jeg regner med at skippe frokosten.
His train arrives at five this evening.	Hans tog ankommer klokken sytten i eftermiddag.
I'll take that one, too.	Jeg tager også den der.
I'm afraid I've run short of coffee.	Jeg er bange for at jeg er løbet tør for kaffe.
Tom looked around the empty room.	Tom så sig om i det tomme værelse.
The time has come.	Tiden er inde.
Children generally have a higher body temperature than adults.	Børn har generelt en højere kropstemperatur end voksne.
Tom had a narrow escape.	Tom undslap med nød og næppe.
This is the last time I'll accept a gift.	Dette er sidste gang jeg vil tage imod en gave.
I'll never ever forget Tom.	Jeg vil aldrig nogensinde glemme Tom.
Tom launders money.	Tom hvidvasker penge.
I wanted to sunbathe.	Jeg ville solbade.
Sumatra is an island.	Sumatra er en ø.
His days as a politician are numbered.	Hans dage som politiker er talte.
Check this translation with the original.	Tjek denne oversættelse med originalen.
The runner was gasping for breath.	Løberen gispede efter vejret.
Why did you stop?	Hvorfor stoppede du?
Mind your own business!	Hold snuden for dig selv!
Everything is fine.	Alt er fint.
Wouldn't that be something?	Ville det ikke være noget?
I wonder who gave Tom that black eye.	Hvem har mon givet Tom det sæbeøje?
Tom and Mary have been married three years.	Tom og Mary har været gift i tre år.
He is a famous artist.	Han er en berømt kunstner.
Only my mother understands me.	Kun min mor forstår mig.
The sun always sets in the west.	Solen går altid ned i vest.
The Second World War broke out in 1939.	Den anden verdenskrig brød ud i 1939.
You asked too many questions.	Du stillede for mange spørgsmål.
They de-iced the bridge with salt.	De afisede broen med salt.
Your car is fast.	Din bil er hurtig.
Tom is a prescription drug wholesaler.	Tom er engrosforhandler af receptpligtig medicin.
Don't look down on the poor.	Se ikke ned på de fattige.
Tom's son's name is John.	Toms søns navn er John.
This wall feels cold.	Denne mur føles kold.
What an interesting theory!	Hvilken interessant teori!
The bedrooms are upstairs.	Soveværelserne er ovenpå.
That's enough for today.	Det er nok for i dag.
Why not both?	Hvorfor ikke begge?
Why aren't they worried?	Hvorfor er de ikke bekymret?
Cheers!	Tak!
I helped my mother in the kitchen.	Jeg hjalp min mor i køkkenet.
He's very lonely.	Han er meget ensom.
Tom must be happier now.	Tom må være gladere nu.
He bought a car.	Han har købt en bil.
It's not clean.	Det er ikke rent.
I live next door to the toy shop.	Jeg bor ved siden af ​​legetøjsbutikken.
I enjoyed every day of my vacation.	Jeg nød hver dag af min ferie.
It was a warm day.	Det var en varm dag.
Tom was the best man at my wedding.	Tom var forlover ved mit bryllup.
Tom told me that he drinks at least three cups of coffee a day.	Tom fortalte mig at han drikker mindst tre kopper kaffe om dagen.
This shouldn't come as a surprise to anyone.	Dette burde ikke komme som en overraskelse for nogen.
They're studying French and web design.	De studerer fransk og webdesign.
It won't be long before he returns home.	Det vil ikke vare længe, ​​før han vender hjem.
He lives alone in the woods.	Han bor alene i skoven.
I like traveling.	Jeg kan lide at rejse.
There are some books on Tom's desk.	Der ligger nogle bøger på Toms skrivebord.
He changed his attitude suddenly.	Han ændrede pludselig sin holdning.
I am taking tomorrow off.	Jeg tager mig en fridag i morgen.
This dog is white.	Denne hund er hvid.
I speak Swedish.	Jeg taler svensk.
I paid my taxes.	Jeg har betalt mine skat.
Have you ever traveled alone?	Har du nogensinde rejst alene?
Let's call it a day.	Lad os kalde det en dag.
He comes here twice a week.	Han kommer her to gange om ugen.
You and I are the same age.	Du og jeg er jævnaldrende.
I have two daughters and two sons.	Jeg har to døtre og to sønner.
Thanks for the flowers.	Tak for blomsterne!
Tom remained stoic.	Tom tog det med ophøjet ro.
This book is small.	Denne bog er lille.
The children washed their feet.	Børnene vaskede deres fødder.
Tom didn't know for certain what time he should arrive.	Tom vidste ikke med sikkerhed hvilken tid han skulle ankomme.
I wrote a letter last night.	Jeg skrev et brev i aftes.
Tom doesn't believe that Mary is happy.	Tom tror ikke at Mary er lykkelig.
Do you like black cats?	Kan du lide sorte katte?
He is a DJ.	Han er DJ.
I had some trouble finding her house yesterday.	Jeg havde nogle problemer med at finde hendes hus i går.
Must I open everything?	Skal jeg åbne det hele?
The game will start in an hour.	Spillet begynder om en time.
I'm not going to the meeting.	Jeg tager ikke til mødet.
I speak French to my staff.	Jeg taler fransk til mine medarbejdere.
I really like this restaurant.	Jeg kan virkelig godt lide denne restaurant.
Tom poured some apple juice into a glass.	Tom hældte æblejuice i et glas.
What's going on in here?	Hvad sker der herinde?
The problem will resolve itself eventually.	Problemet vil løse sig selv med tiden.
He's a bit tipsy.	Han er en smule bedugget.
They need food and water.	De har brug for mad og vand.
I'm fed up with working here.	Jeg er led og ked af at arbejde her.
I got lost.	Jeg for vild.
I don't have any cash on me right now.	Jeg har ingen kontanter på mig lige nu.
She helped him tie his tie.	Hun hjalp ham med at binde sit slips.
I hate cops like him.	Jeg hader sådan nogen betjente som ham.
There is a marked difference between them.	Der er en klar forskel mellem de to.
I'm not creative.	Jeg er ikke kreativ.
She sings out of tune.	Hun synger falsk.
Summer has ended.	Sommeren er forbi.
Tom doesn't want to sell his car.	Tom ønsker ikke at sælge sin bil.
I can prove it.	Jeg kan bevise det.
Tom kept watch.	Tom holdt vagt.
It's been raining a lot.	Det har regnet meget.
Many students bought the book.	Mange elever har købt bogen.
Africa is a continent; Greenland is not.	Afrika er et kontinent; Grønland er ikke.
The soldier sacrificed himself to save his friend's life.	Soldaten ofrede sig selv for at redde vennens liv.
Go for broke!	Giv den hele armen!
I didn't do it.	Jeg har ikke gjort det.
How much severance pay will we have to pay Tom?	Hvor meget skal vi betale Tom i fratrædelsesgodtgørelse?
This is really embarrassing.	Det er virkelig pinligt.
If you dress like that at your age, you'll make a fool of yourself.	Hvis du klæder dig som det der i din alder, gør du dig selv til grin.
Where can we make a phone call?	Hvor kan man foretage et telefonopkald?
How much time do you spend on Facebook?	Hvor meget tid bruger du på Facebook?
Tom tried to put the key in the ignition.	Tom forsøgte at sætte nøglen i tændingen.
Tom died in a fire.	Tom døde i en brand.
You can't kill someone that's already dead.	Du kan ikke dræbe en som allerede er død.
I wonder what they'll do next.	Jeg gad vide hvad de vil gøre herefter.
Don't ever wear that tie again.	Gå aldrig med det slips igen!
What's wrong with my kissing technique?	Hvad er der galt med min kysseteknik?
She hugged him.	Hun omfavnede ham.
I met him the other day.	Jeg mødte ham den anden dag.
Tom got beat.	Tom blev tæsket.
It is already too late.	Det er allerede for sent.
What do you do for a living?	Hvad laver du?
You should go see a doctor.	Du skulle gå til lægen.
Do you have something to write with?	Har du noget at skrive med?
Close the gate.	Luk porten.
Why won't Tom listen to me?	Hvorfor vil Tom ikke høre på mig?
A lot of kids wear jeans.	Mange børn går med cowboybukser.
He couldn't understand the sentence.	Han kunne ikke forstå sætningen.
That remains to be seen.	Vi får se.
If you guys aren't doing anything later, why don't you come over for a cup of coffee?	Hvis I ikke har noget I skal, så må I gerne komme over til en kop kaffe?
I couldn't solve the puzzle.	Jeg kunne ikke løse puslespillet.
Tom is three inches shorter than Mary.	Tom er tre tommer kortere end Mary.
No one has asked me to do that yet.	Ingen har endnu bedt mig om at gøre det.
My company is successful.	Min virksomhed er succesfuld.
Write with a ballpoint pen.	Skriv med en kuglepen.
That's one of my dogs.	Det er en af mine hunde.
I cringed.	Jeg krøb sammen.
Aomori is famous for its good apples.	Aomori er berømt for sine gode æbler.
They bought a new car.	De har købt en ny bil.
It's been 10 days since my boyfriend went to jail.	Det er ti dage siden min kæreste blev sat i fængsel.
A dolphin is a mammal.	En delfin er et pattedyr.
Tom put the box on the table.	Tom satte kassen på bordet.
He promised me that he would come at four.	Han lovede mig at han ville komme klokken fire.
I don't play backgammon as often as I used to.	Jeg spiller ikke backgammon så ofte som jeg plejede.
How can I change your mind?	Hvordan kan jeg få dig til at skifte mening?
Both his sisters are beautiful.	Begge hans søstre er smukke.
The tire leaks air.	Dækket taber luft.
Tom has tiny hands.	Tom har små hænder.
Are you lost?	Er du faret vild?
My daughter caught a cold.	Min datter er blevet forkølet.
I'll move soon.	Jeg flytter snart.
The child was paralyzed with fear.	Barnet var lammet af frygt.
Can I come inside?	Kan jeg komme ind?
Is the coffee strong enough?	Er kaggen stærk nok?
Tom can't walk.	Tom kan ikke gå.
Your friend is a namby-pamby.	Din ven er en tøsedreng.
My maternal aunt brought me up after my parents died in a plane crash.	Min moster opdragede mig efter at mine forældre døde i et flystyrt.
Tom doesn't like scrambled eggs.	Tom kan ikke lide røræg.
Tom is wearing a wig.	Tom går med paryk.
Do it again.	Gør det igen.
From which station does the train leave?	Fra hvilken station afgår toget?
She's a single mother.	Hun er enlig mor.
He went on walking for two hours.	Han fortsatte med at gå i to timer.
Have you ever been to New York?	Har du nogensinde været i New York?
That's too much!	Det er for meget!
Thanks for your reply.	Tak for dit svar.
The problem's not on our end.	Problemet er ikke her.
Her garden is a work of art.	Hendes have er et kunstværk.
I was very tired.	Jeg var meget træt.
Tom may come at any time.	Tom kan komme når som helst.
That's a church.	Det er en kirke.
No kidding?	Er det sandt?
What is happiness?	Hvad er lykke?
How are you doing these days?	Hvordan har du det for tiden?
Don't be late for school.	Kom nu ikke for sent i skole.
Tom stood in front of Mary.	Tom stod foran Mary.
What a huge dog!	Sikke en kæmpestor hund!
Is her father a doctor?	Er hendes far læge?
I'm living in a town.	Jeg bor i en by.
Can you break this twenty?	Kan du veksle denne tyvedollarseddel til mindre sedler?
Write the alphabet in capitals.	Skriv alfabetet med store bogstaver.
I'm busy with homework.	Jeg har travlt med at lave lektier.
Tom has never bought frozen apples.	Tom har aldrig købt frosne æbler.
Mary was dressed to kill.	Mary var helt fantastisk klædt på.
Watch your speed.	Pas på hastigheden.
The bread was moldy, but Tom ate it anyway.	Brødet var muggent, men Tom spiste det alligevel.
Today, automobiles have taken the place of horses as the principal means of transportation.	I dag har bilerne erstattet hestene som det vigtigste transportmiddel.
The police are here.	Politiet er her.
Wikipedia is the best encyclopedia on the Internet.	Wikipedia er den bedste encyklopædi på nettet.
Tom quickly lost interest.	Tom mistede hurtigt interessen.
It took three days to paint the whole house.	Det tog tre dage at male hele huset.
Tom isn't eating an apple.	Tom spiser ikke et æble.
I'm at work now, so I'll call you later.	Jeg er på arbejde nu, så jeg vil ringe til dig senere.
I'm Tom's father.	Jeg er Toms far.
I got caught in a traffic jam on the expressway.	Jeg sad fast i en trafikprop på motorvejen.
I can't remember his name.	Jeg kan ikke huske hans navn.
The city was full of hungry soldiers.	Byen var fuld af sultne soldater.
It won't be long before we know the truth.	Vi vil snart kende sandheden.
I like the way you smile.	Jeg kan lide måden du smiler på.
The police arrested three men.	Politiet arresterede tre mænd.
Stop teasing Tom.	Hold op med at drille Tom.
Get out of my life!	Forsvind ud af mit liv!
Can I use MasterCard here?	Kan man bruge MasterCard her?
Sorry, something went wrong.	Undskyld, noget er gået galt.
That's not my fault.	Det er ikke min skyld.
Ain't she cute?	Er hun ikke sød?
I remember meeting the queen.	Jeg husker at jeg mødte dronningen.
Tom is in his room.	Tom er på sit værelse.
Tell Mary I love her.	Sig til Mary at jeg elsker hende.
Tom and Mary will keep their promise.	Tom og Mary vil holde deres løfte.
They were both naked.	De var begge nøgne.
It's totally normal.	Det er helt normalt.
Please have a seat.	Vær så venlig at sætte jer.
I am pleased to see you.	Det glæder mig at se dig.
Tom's wife is hard-working.	Toms kone er hårdtarbejdende.
If I were you, I would buy it.	Hvis jeg var dig, ville jeg købe det.
He is writing a letter to his parents now.	Han er ved at skrive et brev til sine forældre.
Do you know who Tom killed?	Ved du hvem Tom har dræbt?
Tom is regaining consciousness.	Tom er ved at komme til sig selv.
Tom doesn't know how to cook very well.	Tom er ikke ret god til at lave mad.
The clouds are getting darker.	Skyerne bliver mørkere.
He is looking for a job.	Han leder efter et job.
Tom didn't want to go to school.	Tom ville ikke i skole.
Tom had jeans on.	Tom havde cowboybukser på.
Tom doesn't need a coach.	Tom har ikke brug for en coach.
It had started to rain.	Det var begyndt at regne.
I'm sure there's a perfectly reasonable explanation.	Der findes sikkert en helt fornuftig forklaring.
I have a pencil.	Jeg har en blyant.
My room key, please.	Jeg vil gerne have nøglen til mit værelse.
You always take things too seriously.	I tager altid tingene alt for alvorligt.
My nose is running.	Min næse løber.
Can you meet me in the cafeteria in ten minutes?	Kan vi mødes i cafeteriet om ti minutter?
He must have lost his marbles.	Han må have mistet forstanden.
Tom must've escaped.	Tom må være undsluppet.
I shook my head and said no.	Jeg rystede på hovedet og sagde nej.
I shouldn't have trusted you.	Jeg burde ikke have stolet på dig.
Tom has cut his finger.	Tom har skåret sin finger.
I received a letter informing me of his arrival.	Jeg modtog et brev, der informerede mig om hans ankomst.
His wife goes with him wherever he goes.	Hans kone går med ham, hvor end han går.
Why are we wasting time with this?	Hvorfor spilder vi vores tid med dette?
Go and wake Tom up.	Gå hen og væk Tom!
The cat climbed up the tree.	Katten klatrede op i træet.
Tom has thought this through.	Tom har gennemtænkt dette.
One of my bicycle tires is flat.	Det ene hjul på min cykel er punkteret.
I got a music box for my birthday.	Til min fødselsdag fik jeg en spilledåse.
Tom isn't going to be happy.	Tom kommer ikke til at være glad.
School begins the day after tomorrow.	Skolen begynder i overmorgen.
He got very drunk.	Han blev meget beruset.
Santa Ana was living in exile in Cuba.	Santa Ana boede i eksil i Cuba.
The elevator stopped on the second floor.	Elevatoren standsede på første sal.
I didn't drink tea yesterday.	Jeg drak ikke te i går.
She has seven sons.	Hun har syv sønner.
Real men drink tea.	Rigtige mænd drikker te.
The chemical formula for water is H₂O.	Den kemiske sumformel for vand er H₂O.
She is my girlfriend.	Hun er min veninde.
Speaking French is easy for me.	At tale fransk er let for mig.
We have to get up early tomorrow morning.	Vi skal tidlig op i morgen tidlig.
I spend too much time in front of my computer.	Jeg bruger for meget tid foran min computer.
Tom is brain damaged.	Tom er hjerneskadet.
He has a lot of books on history.	Han har mange bøger om historie.
The girls began to laugh.	Pigerne begyndte at le.
Where did you see them?	Hvor så du dem?
There were teenagers in the park showing off on their skateboards.	Der var teenagere i parken som førte sig frem på deres skateboards.
Do you have anything to read?	Har du noget at læse?
I work here.	Jeg arbejder her.
I want to know who told Tom that.	Jeg vil gerne vide, hvem der fortalte Tom det.
